reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2023,3(c),9.4667,45.6847,Carbon dioxide (CO2),722839000.0,485.68689503915584,0,0,0,1,0,0,0,0
2024,1(d),8.2897,44.3808,Carbon dioxide (CO2),126602000.0,438.54873299619953,0,1,0,0,0,0,0,0
2023,3(e),7.5908,44.3867,Sulphur oxides (SOX),197560.0,484.3039076585716,0,0,0,1,0,0,0,0
2024,1(c),9.4359,45.3345,Nitrogen oxides (NOX),338010.0,454.1275854590648,0,1,0,0,0,0,0,0
2022,1(c),18.0321,40.5638,Chromium and compounds (as Cr),306.4988,486.1548254028064,0,1,0,0,0,0,0,0
2024,7(a),10.5783,44.9408,Ammonia (NH3),18150.0,371.6061310645395,0,0,1,0,0,0,0,0
2023,1(a),15.219444,37.135556,Hydro-fluorocarbons (HFCS),260.0,579.1857861069731,0,1,0,0,0,0,0,0
2023,8(b),10.9497,45.3595,Hydro-fluorocarbons (HFCS),124.0,404.0003247731464,0,0,0,0,0,0,0,0
2021,1(c),12.2661,44.4844,Sulphur hexafluoride (SF6),67.0,287.6669114626911,0,1,0,0,0,0,0,0
2023,3(e),12.0833,42.9667,Nitrogen oxides (NOX),300555.0,123.06167547132851,0,0,0,1,0,0,0,0
2022,1(c),18.0321,40.5638,Fluorine and inorganic compounds (as HF),31185.8111,486.1548254028064,0,1,0,0,0,0,0,0
2021,7(a),11.9144,44.5604,Ammonia (NH3),11553.0,299.2472027956366,0,0,1,0,0,0,0,0
2022,1(c),14.2297,41.0088,Carbon dioxide (CO2),338269000.0,175.34271516200758,0,1,0,0,0,0,0,0
2022,7(a),10.7467,45.2418,Ammonia (NH3),37787.0,397.10992461724027,0,0,1,0,0,0,0,0
2023,5(d),17.4758,40.4881,Methane (CH4),369500.0,445.2515291620903,0,0,0,0,0,0,0,1
2024,3(c),13.2503,38.190833,Carbon dioxide (CO2),203202000.0,417.7054329667705,0,0,0,1,0,0,0,0
2021,7(a),11.9686,45.0014,Ammonia (NH3),13146.0,347.1703986282376,0,0,1,0,0,0,0,0
2022,7(a),10.9119,45.0928,Ammonia (NH3),23399.0,377.01330693781745,0,0,1,0,0,0,0,0
2024,7(a),10.702778,44.475556,Ammonia (NH3),18861.0,320.89145800535647,0,0,1,0,0,0,0,0
2022,3(c),,,Nitrous oxide (N2O),10800.0,,0,0,0,1,0,0,0,0
2023,1(a),13.3813,43.6395,Non-methane volatile organic compounds (NMVOC),145300.0,206.17477195412638,0,1,0,0,0,0,0,0
2023,7(a)(i),13.1783,45.7925,Ammonia (NH3),29288.0,435.9530064230601,0,0,1,0,0,0,0,0
2022,1(c),18.0321,40.5638,Mercury and compounds (as Hg),38.2455,486.1548254028064,0,1,0,0,0,0,0,0
2024,7(a),10.1367,45.1158,Ammonia (NH3),18240.0,404.7438407430821,0,0,1,0,0,0,0,0
2023,3(e),11.0928,45.1436,Nitrogen oxides (NOX),872254.0,377.69529539990066,0,0,0,1,0,0,0,0
2024,1(a),8.7858,45.4372,Non-methane volatile organic compounds (NMVOC),356598.6,493.3600021474541,0,1,0,0,0,0,0,0
2022,7(a),12.2114,43.1667,Ammonia (NH3),18859.0,142.46582393109662,0,0,1,0,0,0,0,0
2023,7(a),7.5761,44.6911,Ammonia (NH3),16409.0,504.505038952982,0,0,1,0,0,0,0,0
2024,1(c),14.441111,37.5425,Nitrogen oxides (NOX),122873.5,512.5366645240119,0,1,0,0,0,0,0,0
2022,9(c),13.4258,41.9964,Hydro-fluorocarbons (HFCS),374.0,77.56184590909317,0,0,0,0,1,0,0,0
2023,7(a),10.2969,44.7048,Ammonia (NH3),14662.0,358.7862520818119,0,0,1,0,0,0,0,0
2023,7(a),10.5108,45.235,Ammonia (NH3),29340.0,403.5476644593004,0,0,1,0,0,0,0,0
2021,1(a),13.3813,43.6395,Nitrogen oxides (NOX),303000.0,206.17477195412638,0,1,0,0,0,0,0,0
2021,1(c),7.5678,44.4378,Carbon dioxide (CO2),158809000.0,488.94879021109034,0,1,0,0,0,0,0,0
2022,7(a),9.6831,45.3286,Ammonia (NH3),24642.0,443.1028237477304,0,0,1,0,0,0,0,0
2022,7(a),12.7703,46.0653,Ammonia (NH3),43256.0,463.3665099207542,0,0,1,0,0,0,0,0
2021,3(e),8.3269,44.3328,Nitrogen oxides (NOX),124020.7,432.96114215749304,0,0,0,1,0,0,0,0
2021,1(c),8.739,45.5212,Carbon monoxide (CO),819094.0,502.9487066098593,0,1,0,0,0,0,0,0
2021,7(a),12.7097,46.0478,Methane (CH4),130266.0,461.21837966978154,0,0,1,0,0,0,0,0
2024,2(b),9.5969,45.6425,Carbon dioxide (CO2),387626894.0,476.48876713324137,0,0,0,0,0,0,1,0
2022,1(a),9.0113,39.0971,Zinc and compounds (as Zn),325.3168,429.0677199992063,0,1,0,0,0,0,0,0
2024,1(c),16.6566,38.875,Carbon monoxide (CO),555350.0,487.2165784775803,0,1,0,0,0,0,0,0
2022,8(b),11.3028,45.0292,Particulate matter (PM10),50524.0,360.72672194530134,0,0,0,0,0,0,0,0
2022,7(a),12.0465,44.3015,Ammonia (NH3),16630.0,269.21136669366126,0,0,1,0,0,0,0,0
2024,4(e),9.3585,45.5945,Dichloromethane (DCM),260769.0,481.61083842064687,1,0,0,0,0,0,0,0
2021,2(c),11.039625,45.207328,Nitrous oxide (N2O),16200.0,385.7249758339764,0,0,0,0,0,0,1,0
2023,7(a),9.8467,45.235,Ammonia (NH3),43060.0,427.56048759605676,0,0,1,0,0,0,0,0
2021,3(c),,,Nitrogen oxides (NOX),885600.0,,0,0,0,1,0,0,0,0
2023,7(a),11.2732,45.074,Ammonia (NH3),28410.0,366.15589412172045,0,0,1,0,0,0,0,0
2021,1(a),10.3365,43.5872,Non-methane volatile organic compounds (NMVOC),300986.0,257.2528399694245,0,1,0,0,0,0,0,0
2024,3(c),10.3444,45.5153,Carbon dioxide (CO2),707551000.0,437.306929605887,0,0,0,1,0,0,0,0
2024,7(a),11.3572,45.0995,Ammonia (NH3),10590.0,367.1293258633771,0,0,1,0,0,0,0,0
2021,7(a)(i),12.2792,45.566,Ammonia (NH3),12453.0,407.7024183166868,0,0,1,0,0,0,0,0
2021,7(a),10.1019,45.0048,Ammonia (NH3),11685.0,395.34354005536096,0,0,1,0,0,0,0,0
2022,7(a),8.9311,45.4658,Ammonia (NH3),157544.0,488.9216189799064,0,0,1,0,0,0,0,0
2022,7(a),11.0281,44.9886,Ammonia (NH3),15950.0,363.0054808715968,0,0,1,0,0,0,0,0
