Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_1_UV-FL_2006-12-06_00:00:00","SO2","Sulphur dioxide (air)","P1Y-hr-max","1 year hour max","2021","13.453","ug/m3","92.43","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:20","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_1_UV-FL_2006-12-06_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1906A","ARENULA","SPO.IT1906A_38_chemi_2008-02-03_00:00:00","NO","Nitrogen monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2021","6.700","ug/m3","93.97","1","Background","Urban","12.4754","41.8940","17.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:59:18","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1906A_38_chemi_2008-02-03_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_1_UV-FL_2006-12-06_00:00:00","SO2","Sulphur dioxide (air)","P1Y-P1D-per95.07","1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day","2021","2.037","ug/m3","95.34","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:01:41","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_1_UV-FL_2006-12-06_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1906A","ARENULA","SPO.IT1906A_7_UV-P_2009-11-29_00:00:00","O3","Ozone (air)","P1Y-hr-per50","1 year 50 percentile","2021","36.122","ug/m3","97.36","1","Background","Urban","12.4754","41.8940","17.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:56","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1906A_7_UV-P_2009-11-29_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_8_chemi_2019-03-18_00:00:00","NO2","Nitrogen dioxide (air)","P1Y-P1D-per95.07","1 year 95.07 percentile of daily means (P1D) or .../aq/primaryObservation/day","2021","53.050","ug/m3","92.88","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:01:41","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_8_chemi_2019-03-18_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_8_chemi_2019-03-18_00:00:00","NO2","Nitrogen dioxide (air)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2021","58.382","ug/m3","92.88","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:01:47","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_8_chemi_2019-03-18_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_9_chemi_2019-03-18_00:00:00","NOX as NO2","Nitrogen oxides (air)","P1Y-hr-max","1 year hour max","2021","480.245","ug/m3","91.40","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:20","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_9_chemi_2019-03-18_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_8_chemi_1998-01-01_00:00:00","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2021","20.568","ug/m3","95.62","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:59:18","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_8_chemi_1998-01-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1906A","ARENULA","SPO.IT1906A_7_UV-P_2009-11-29_00:00:00","O3","Ozone (air)","SOMO10","Sum of Ozone Means Over 10 ppb","2021","12146.274","ug/m3","95.34","1","Background","Urban","12.4754","41.8940","17.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:07:21","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1906A_7_UV-P_2009-11-29_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1836A","CIPRO","SPO.IT1836A_7_UV-P_2006-12-17_00:00:00","O3","Ozone (air)","AOT40c-P5Y","AOT40 vegetation protection averaged over 5 years","2021","5320.634","ug/m3","98.88","1","Background","Urban","12.4476","41.9064","24.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:17:34","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1836A_7_UV-P_2006-12-17_00_00_00.parquet","hour"
